Sl_No,12th_Name,12th_Board,Total Lang1,Total Lang2,Total Math,Total PHY,Total CHE,Total BIO/other,Total CS/IT,12th_Pct,10th_Pct,10th_Board,10th_Medium,STEM_Total,STEM_Avg,Overall_Avg,Aptitude,BIO_score,LANG_score,OVERALL,MATH_STEM_RATIO,CS_STEM_RATIO,LANG_OVERALL_RATIO,CBSE_FLAG,ENGLISH_MEDIUM,Total Math_PERCENTILE,Total PHY_PERCENTILE,Total CS/IT_PERCENTILE,Total BIO/other_PERCENTILE,career_20
1,ISC,CISCE,77.0,86.0,71,55,62.0,53.0,83.0,63.6,74.5,ISCE,English,271.0,67.75,69.05,Medium,53.0,81.5,69.05,0.26199261992619927,0.3062730627306273,1.1803041274438812,0,1,0.44954389965792474,0.1080387685290764,0.4991448118586089,0.021664766248574687,19
2,SSCE,CBSE,90.0,86.0,83,77,71.0,80.0,82.0,80.6,93.0,CBSE,English,313.0,78.25,86.8,Medium,80.0,88.0,86.8,0.26517571884984026,0.26198083067092653,1.0138248847926268,1,1,0.6918472063854048,0.5538768529076397,0.14737742303306728,0.4985746864310148,4
3,HS,WBCHSE ,82.0,74.0,82,70,83.0,82.0,83.0,80.6,64.0,WBBSE ,Bengali,318.0,79.5,72.3,Medium,82.0,78.0,72.3,0.2578616352201258,0.2610062893081761,1.0788381742738589,0,0,0.6710376282782212,0.3848346636259977,0.4991448118586089,0.7346066134549601,4
4,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION ,83.0,92.0,68,61,56.0,70.0,83.0,74.8,94.5,WEST BENGAL BOARD OF SECONDARY EDUCATION ,English,268.0,67.0,84.65,Medium,70.0,87.5,84.65,0.2537313432835821,0.30970149253731344,1.0336680448907265,0,1,0.3939566704675028,0.20496009122006842,0.4991448118586089,0.1525085518814139,6
5,HS,WBCHSE,44.0,71.0,63,51,51.0,80.0,56.0,58.4,91.14,WBBSE,English,221.0,55.25,74.77,Low,80.0,57.5,74.77,0.2850678733031674,0.25339366515837103,0.7690250100307611,0,1,0.3024515393386545,0.042759407069555305,0.013968072976054732,0.4985746864310148,10
6,ISC,CISCE,90.0,90.0,78,68,79.0,90.0,83.0,85.4,89.0,CISCE,English,308.0,77.0,87.2,Medium,90.0,90.0,87.2,0.2532467532467532,0.2694805194805195,1.0321100917431192,0,1,0.5920752565564424,0.35347776510832385,0.4991448118586089,0.8762827822120867,4
7,HS,WBCHSE,75.0,88.0,47,50,56.0,66.0,83.0,67.0,67.0,WBCHSE,Bengali,236.0,59.0,67.0,Low,66.0,81.5,67.0,0.19915254237288135,0.3516949152542373,1.2164179104477613,0,0,0.07183580387685291,0.021379703534777653,0.4991448118586089,0.11345496009122007,19
8,ISC,The Council for the Indian School Certificate Examinations (CISCE),77.0,86.0,55,60,43.0,80.0,67.0,60.4,0.6183,The Council for the Indian School Certificate Examinations (CISCE),English,225.0,56.25,30.50915,Low,80.0,81.5,30.509149999999998,0.24444444444444444,0.29777777777777775,2.6713297486163987,0,1,0.15592930444697833,0.1790193842645382,0.04903078677309008,0.4985746864310148,12
9,SSCE,CBSE,87.0,86.0,81,71,79.0,80.0,92.0,82.0,91.0,CBSE,English,323.0,80.75,86.5,High,80.0,86.5,86.5,0.25077399380804954,0.2848297213622291,1.0,1,1,0.6505131128848347,0.41191562143671606,0.9230330672748005,0.4985746864310148,2
10,SSCE,CBSE,80.0,86.0,81,82,83.0,80.0,91.0,83.4,91.5,CBSE,English,337.0,84.25,87.45,High,80.0,83.0,87.45,0.2403560830860534,0.27002967359050445,0.9491137793024585,1,1,0.6505131128848347,0.677023945267959,0.9119156214367161,0.4985746864310148,2
