Sl_No,12th_Name,12th_Board,Total Lang1,Total Lang2,Total Math,Total PHY,Total CHE,Total BIO/other,Total CS/IT,12th_Pct,10th_Pct,10th_Board,10th_Medium,STEM_Total,STEM_Avg,Overall_Avg,Aptitude
1,ISC,CISCE,77.0,86.0,71,55,62.0,53.0,83.0,63.6,74.5,ISCE,English,271.0,67.75,69.05,Medium
2,SSCE,CBSE,90.0,86.0,83,77,71.0,80.0,82.0,80.6,93.0,CBSE,English,313.0,78.25,86.8,Medium
3,HS,WBCHSE ,82.0,74.0,82,70,83.0,82.0,83.0,80.6,64.0,WBBSE ,Bengali,318.0,79.5,72.3,Medium
4,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION ,83.0,92.0,68,61,56.0,70.0,83.0,74.8,94.5,WEST BENGAL BOARD OF SECONDARY EDUCATION ,English,268.0,67.0,84.65,Medium
5,HS,WBCHSE,44.0,71.0,63,51,51.0,80.0,56.0,58.4,91.14,WBBSE,English,221.0,55.25,74.77,Low
6,ISC,CISCE,90.0,90.0,78,68,79.0,90.0,83.0,85.4,89.0,CISCE,English,308.0,77.0,87.2,Medium
7,HS,WBCHSE,75.0,88.0,47,50,56.0,66.0,83.0,67.0,67.0,WBCHSE,Bengali,236.0,59.0,67.0,Low
8,ISC,The Council for the Indian School Certificate Examinations (CISCE),77.0,86.0,55,60,43.0,80.0,67.0,60.4,0.6183,The Council for the Indian School Certificate Examinations (CISCE),English,225.0,56.25,30.509149999999998,Low
9,SSCE,CBSE,87.0,86.0,81,71,79.0,80.0,92.0,82.0,91.0,CBSE,English,323.0,80.75,86.5,High
10,SSCE,CBSE,80.0,86.0,81,82,83.0,80.0,91.0,83.4,91.5,CBSE,English,337.0,84.25,87.45,High
11,HS,WBBSE,86.0,90.0,46,76,88.0,84.0,83.0,84.8,0.79,WBBSE ,Bengali,293.0,73.25,42.795,Medium
12,ISC,CISCE,86.0,86.0,83,88,94.0,80.0,96.0,89.4,91.0,CISCE ,English,361.0,90.25,90.2,High
13,SSCE,CBSE,90.0,90.0,81,70,95.0,88.0,81.0,88.8,87.1,CBSE,English,327.0,81.75,87.94999999999999,High
14,ISC,Council For The Indian School Certificate Examinations,78.0,78.0,60,68,69.0,80.0,94.0,77.4,84.2,Council For The Indian School Certificate Examinations,English,291.0,72.75,80.80000000000001,Medium
15,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,81.0,93.0,86,81,86.0,77.0,83.0,85.4,83.8,WEST BENGAL BOARD OF SECONDARY EDUCATION,Bengali,336.0,84.0,84.6,High
16,HS, West Bengal Council of Higher Secondary Education,73.0,80.0,45,68,72.0,80.0,76.0,73.8,68.25,West Bengal Board of Secondary Education ,English,261.0,65.25,71.025,Medium
17,SSCE,CBSE,81.0,86.0,61,71,71.0,80.0,54.0,67.6,95.0,CBSE,English,257.0,64.25,81.3,Medium
18,HS,West Bengal Counsil of Higher Secondary Education ,78.0,92.0,75,80,62.0,46.0,83.0,77.4,90.57,West Bengal board of secondary education ,English,300.0,75.0,83.985,Medium
19,SSCE,CBSE,85.0,86.0,65,72,82.0,80.0,92.0,79.2,77.3,CBSE,English,311.0,77.75,78.25,Medium
20,ISC,CISCE,81.0,90.0,54,85,79.0,80.0,81.0,78.2,87.0,Icse,English,299.0,74.75,82.6,Medium
21,ISC,Council for the Indian School Certificate Examinations,96.0,96.0,94,89,94.0,80.0,93.0,94.6,97.4,Council for the Indian School Certificate Examinations,English,370.0,92.5,96.0,High
22,SSCE,CBSE ,81.0,86.0,45,52,59.0,80.0,74.0,62.2,82.67,CBSE ,English,230.0,57.5,72.435,Low
23,SSCE,CBSE,75.0,86.0,59,72,77.0,73.0,83.0,71.2,0.802,CBSE,English,291.0,72.75,36.001000000000005,Medium
24,Other,BIHAR SCHOOL EXAMINATION BOARD,81.0,77.0,85,84,78.0,65.0,83.0,81.0,84.2,BIHAR SCHOOL EXAMINATION BOARD,Hindi,330.0,82.5,82.6,High
25,Other,CBSE ,81.0,86.0,54,52,58.0,64.0,83.0,61.8,84.6,CBSE,English,247.0,61.75,73.19999999999999,Medium
26,HS,West Bengal Council of Higher Secondary Education  ,87.0,82.0,88,58,74.0,87.0,83.0,83.6,85.71,West Bengal Board of Secondary Education ,Bengali,303.0,75.75,84.655,Medium
27,SSCE,CBSE,32.0,86.0,61,53,53.0,75.0,65.0,61.4,79.0,CBSE,English,232.0,58.0,70.2,Low
28,SSCE,CBSE,86.0,86.0,45,59,65.0,80.0,80.0,67.0,86.0,ICSE,English,249.0,62.25,76.5,Medium
29,HS,WBCHSE,76.0,73.0,50,51,60.0,63.0,83.0,64.6,80.0,WBBSE,Bengali,244.0,61.0,72.3,Medium
30,HS,CBSE,86.0,86.0,90,74,91.0,80.0,88.0,85.8,0.92,ICSE,English,343.0,85.75,43.36,High
31,HS,BSEB,80.0,71.0,87,77,66.0,80.0,83.0,76.2,0.734,BSEB,Hindi,313.0,78.25,38.467,Medium
32,HS,WBCHSE,75.0,20.0,83,51,65.0,80.0,55.0,65.8,0.74,WBBSE,English,254.0,63.5,33.269999999999996,Medium
33,SSCE,Central Board Of Secondary Education,85.0,86.0,58,61,63.0,80.0,88.0,71.0,72.16,Central Board Of Secondary Education,English,270.0,67.5,71.58,Medium
34,SSCE,CBSE,78.0,96.0,72,80,82.0,87.0,83.0,84.6,85.16,CBSE,English,317.0,79.25,84.88,Medium
35,ISC,Council for the Indian certificate examination ,75.0,83.0,61,75,83.0,80.0,69.0,77.0,84.0,ICSE,English,288.0,72.0,80.5,Medium
36,ISC,CISCE,83.0,69.0,43,49,44.0,53.0,83.0,59.6,0.876,CISCE ,English,219.0,54.75,30.238,Low
37,HS,West Bengal Board of Secondary education ,92.0,87.0,44,52,60.0,74.0,83.0,73.0,0.855,West Bengal board of Secondary education ,Bengali,239.0,59.75,36.9275,Low
38,HS,WBCHSE,80.0,91.0,60,51,55.0,80.0,70.0,71.2,100.0,WBBSE,Bengali,236.0,59.0,85.6,Low
39,HS,WBCHSE,85.0,96.0,80,66,77.0,86.0,83.0,84.8,78.71,WBBSE,Bengali,306.0,76.5,81.755,Medium
40,HS,WBCHSE,50.0,86.0,70,63,62.0,80.0,73.0,70.8,0.9243,WBBSE,English,268.0,67.0,35.86215,Medium
41,HS,WBCHSE,82.0,95.0,44,52,70.0,81.0,83.0,76.0,91.0,WBBSE,Bengali,249.0,62.25,83.5,Medium
42,HS,WBCHSE,72.0,94.0,90,88,74.0,62.0,62.0,83.6,93.0,WBCSE,Bengali,314.0,78.5,88.3,Medium
43,SSCE,CENTRAL BOARD OF SECONDARY EDUCATION ,94.0,86.0,90,99,85.0,80.0,94.0,92.4,84.0,CENTRAL BOARD OF SECONDARY EDUCATION ,English,368.0,92.0,88.2,High
44,ISC,CISCE (Council for the Indian School Certificate Examinations),93.0,94.0,95,90,97.0,80.0,100.0,95.8,98.2,CISCE (Council for the Indian School Certificate Examinations),English,382.0,95.5,97.0,High
45,SSCE,CBSE ,88.0,86.0,86,86,83.0,80.0,86.0,85.8,92.66,CBSE ,English,341.0,85.25,89.22999999999999,High
46,ISC,INDIAN SCHOOL CERTIFICATE EXAMINATIONS,94.0,89.0,88,83,90.0,99.0,83.0,92.0,90.2,INDIAN SCHOOL CERTIFICATE EXAMINATIONS ,English,344.0,86.0,91.1,High
47,HS,WBCHSE,75.0,83.0,44,65,58.0,80.0,70.0,70.2,73.71,WBBSE,Bengali,237.0,59.25,71.955,Low
48,HS,WEST BENGAL BOARD OF COUNCIL,75.0,78.0,53,51,50.0,66.0,83.0,64.6,0.79,WEAT BENGAL BOARD OF COUNCIL ,Bengali,237.0,59.25,32.695,Low
49,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION ,92.0,98.0,97,78,90.0,86.0,83.0,92.6,96.42,WEST BENGAL BOARD OF SECONDARY EDUCATION ,Bengali,348.0,87.0,94.50999999999999,High
50,HS,WEST BENGAL BOARD OF HIGHER SECONDARY EDUCATION,77.0,86.0,74,60,51.0,80.0,83.0,75.4,80.0,WEST BENGAL BOARD OF SECONDARY EDUCATION,Bengali,268.0,67.0,77.7,Medium
51,SSCE,Central Board of secondary Education,88.0,86.0,58,65,63.0,80.0,77.0,70.2,91.2,Council for the indian school certificate examination,English,263.0,65.75,80.7,Medium
52,SSCE,CBSE,83.0,86.0,76,63,68.0,80.0,87.0,75.4,82.8,CBSE,English,294.0,73.5,79.1,Medium
53,HS,CBSE,62.0,62.0,43,52,51.0,59.0,80.0,63.0,80.0,CBSE,English,226.0,56.5,71.5,Low
54,HS,CBSE,91.0,86.0,71,83,82.0,88.0,83.0,83.0,0.932,CBSE,English,319.0,79.75,41.966,Medium
55,HS,West Bengal Council Of Higher Secondary Education,99.0,93.0,81,51,80.0,87.0,83.0,88.0,88.46,West Bengal Board Of Secondary Education,Bengali,295.0,73.75,88.22999999999999,Medium
56,HS,WBCHSE ,85.0,90.0,85,73,84.0,76.0,83.0,84.0,0.87,WBBSE,Bengali,325.0,81.25,42.435,High
57,HS,West Bengal board,76.0,80.0,71,53,58.0,67.0,83.0,70.4,60.0,West Bengal board ,Bengali,265.0,66.25,65.2,Medium
58,HS,WBCHSC,80.0,90.0,70,56,67.0,72.0,83.0,75.8,92.2,WBBSC,Bengali,276.0,69.0,84.0,Medium
59,ISC, Council For The Indian School Certificate Examinations,86.0,92.0,93,89,81.0,88.0,83.0,89.6,90.0, Council For The Indian School Certificate Examinations,English,346.0,86.5,89.8,High
60,HS,WBCHSE,63.0,97.0,70,57,63.0,80.0,83.0,75.2,65.14,WBBSE,English,273.0,68.25,70.17,Medium
61,HS,West Bengal Council of Higher Secondary Education,84.0,90.0,60,53,68.0,84.0,83.0,77.2,93.57,West Bengal Board of Secondary Education,Bengali,264.0,66.0,85.38499999999999,Medium
62,HS,Central Board of Secondary Education ,89.0,86.0,77,85,85.0,87.0,93.0,87.8,83.6,Central Board of Secondary Education ,English,340.0,85.0,85.69999999999999,High
63,SSCE,CENTRAL BOARD OF SECONDARY EDUCATION,81.0,84.0,72,82,83.0,80.0,89.0,83.8,92.0,CENTRAL BOARD OF SECONDARY EDUCATION,English,326.0,81.5,87.9,High
64,HS,CBSE,67.0,86.0,53,52,60.0,80.0,58.0,58.0,84.0,CBSE,English,223.0,55.75,71.0,Low
65,HS,WEST BENGAL COUNSELING OF HIGHER SECONDARY EDUCATION ,81.0,86.0,65,72,57.0,82.0,83.0,77.2,91.57,WEST BENGAL BOARD OF SECONDARY EDUCATION ,Bengali,277.0,69.25,84.38499999999999,Medium
66,HS,West Bengal Council Of Higher Secondary Education ,84.0,83.0,52,56,63.0,80.0,83.0,73.2,0.76,West Bengal Board Of Secondary Education ,Bengali,254.0,63.5,36.980000000000004,Medium
67,HS,WBCHSE,56.0,74.0,44,51,52.0,67.0,83.0,60.0,0.77,WBBSE,Bengali,230.0,57.5,30.385,Low
68,HS,West Bengal Council of Higher Secondary Education,83.0,81.0,44,57,67.0,75.0,83.0,72.6,69.4,West Bengal Board of Secondary Education,Bengali,251.0,62.75,71.0,Medium
69,ISC,CISCE,89.0,97.0,94,85,86.0,84.0,83.0,90.2,0.89,CISCE,English,348.0,87.0,45.545,High
70,HS,WBCHSE,90.0,90.0,94,73,83.0,78.0,83.0,87.0,90.14,WBBSE,Bengali,333.0,83.25,88.57,High
71,HS,CBSE,83.0,86.0,54,53,58.0,100.0,83.0,69.6,74.4,CBSE,English,248.0,62.0,72.0,Medium
72,HS,WBCHSE ,80.0,91.0,82,73,88.0,44.0,83.0,82.8,82.86,WBSE ,Bengali,326.0,81.5,82.83,High
73,HS,CBSE,80.0,86.0,70,52,56.0,80.0,93.0,70.2,90.2,CBSE,English,271.0,67.75,80.2,Medium
74,HS,CBSE,70.0,69.0,72,64,71.0,80.0,60.0,69.2,89.0,CBSE,English,267.0,66.75,79.1,Medium
75,Other,CBSE,86.0,86.0,51,59,67.0,65.0,83.0,65.6,0.832,CBSE,English,260.0,65.0,33.215999999999994,Medium
76,HS,WBCHSE,80.0,90.0,56,67,70.0,90.0,83.0,79.4,86.85,WBBSE,Bengali,276.0,69.0,83.125,Medium
77,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,74.0,96.0,89,66,88.0,80.0,95.0,88.4,93.14,WEST BENGAL BOARD OF SECONDARY EDUCATION,English,338.0,84.5,90.77000000000001,High
78,HS,CBSE,91.0,86.0,65,65,84.0,91.0,65.0,79.2,87.6,CBSE,English,279.0,69.75,83.4,Medium
79,HS,Wbchse,84.0,88.0,46,61,60.0,67.0,83.0,72.0,0.73,Wbbsc,Bengali,250.0,62.5,36.365,Medium
80,HS,CBSE,94.0,86.0,95,95,97.0,80.0,97.0,95.6,78.4,CBSE,English,384.0,96.0,87.0,High
81,SSCE,Central Board of Secondary Education,54.0,86.0,45,51,57.0,82.0,56.0,60.0,0.728,Central Board of Secondary Education,English,209.0,52.25,30.364,Low
82,HS,WBCHSE ,72.0,80.0,56,53,65.0,60.0,83.0,66.6,78.0,WBBSE,Bengali,257.0,64.25,72.3,Medium
83,SSCE,CBSE,87.0,86.0,55,65,56.0,87.0,62.0,71.4,93.4,CBSE,English,238.0,59.5,82.4,Low
84,HS,WBCHSE,83.0,96.0,60,63,80.0,82.0,83.0,80.8,86.14,WBBSE,Bengali,286.0,71.5,83.47,Medium
85,HS,WBCHSE ,66.0,71.0,71,52,61.0,60.0,83.0,65.8,57.57,WBBSE ,Bengali,267.0,66.75,61.685,Medium
86,Other,JHARKHAND ACADMIC COUNCIL ,85.0,86.0,69,84,86.0,80.0,75.0,79.8,80.0,CBSE,English,314.0,78.5,79.9,Medium
87,SSCE,CBSE ,82.0,86.0,46,81,71.0,65.0,83.0,69.0,79.8,CBSE,English,281.0,70.25,74.4,Medium
88,HS,wbchse,53.0,91.0,65,75,73.0,53.0,83.0,71.4,80.0,wbbse,English,296.0,74.0,75.7,Medium
89,ISC,"Council For The Indian School Certificate Examinations ,New Delhi",91.0,91.0,74,72,74.0,86.0,83.0,83.2,0.94,Council For The Indian School Certificate Examinations New Delhi,English,303.0,75.75,42.07,Medium
90,HS,WBCHSE,94.0,90.0,67,68,78.0,74.0,83.0,80.8,75.0,WBBSE,Bengali,296.0,74.0,77.9,Medium
91,HS,WBCHSE ,74.0,76.0,63,51,52.0,61.0,83.0,65.2,0.8829,WBCSE ,Bengali,249.0,62.25,33.041450000000005,Medium
92,HS,WBCHSE,62.0,87.0,46,63,60.0,61.0,83.0,66.6,93.85,WBBSE,Bengali,252.0,63.0,80.225,Medium
93,HS,WBCHSE ,92.0,87.0,42,67,67.0,86.0,60.0,79.8,0.8657,WBCSE ,Bengali,236.0,59.0,40.33285,Low
94,HS,West Bengal council of higher secondary education,86.0,80.0,100,63,86.0,80.0,83.0,86.4,0.8828,West Bengal board of secondary education,Bengali,332.0,83.0,43.641400000000004,High
95,HS,WBCHSE,68.0,90.0,73,58,54.0,70.0,83.0,71.8,90.0,WBBSE,Bengali,268.0,67.0,80.9,Medium
96,ISC,Council for the Indian School Certificate Examinations (CISCE),86.0,86.0,60,73,59.0,80.0,94.0,74.4,91.0,Council for the Indian School Certificate Examinations (CISCE),English,286.0,71.5,82.7,Medium
97,HS,WBCHSE,73.0,67.0,56,52,64.0,67.0,83.0,65.4,56.2,WBCHSE ,Bengali,255.0,63.75,60.800000000000004,Medium
98,Other,CBSE,66.0,86.0,54,68,53.0,80.0,61.0,60.4,0.812,ICSE,English,236.0,59.0,30.605999999999998,Low
99,ISC,CISCE,93.0,86.0,85,99,95.0,80.0,95.0,93.4,96.0,CISCE,English,374.0,93.5,94.7,High
100,HS,WBCHSE ,85.0,85.0,76,60,63.0,60.0,60.0,73.8,82.2,CBSE,English,259.0,64.75,78.0,Medium
101,HS,JHARKHAND ACADEMY COUNCIL ,83.0,82.0,90,77,79.0,80.0,83.0,81.6,0.908,JHARKHAND ACADEMY COUNCIL ,Hindi,329.0,82.25,41.254,High
102,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,75.0,88.0,55,65,75.0,83.0,83.0,77.2,82.2,WEST BENGAL BOARD OF SECONDARY EDUCATION,English,278.0,69.5,79.7,Medium
103,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION ,80.0,85.0,50,50,61.0,77.0,83.0,70.6,82.85,WEST BENGAL BOARD OF SECONDARY EDUCATION ,Bengali,244.0,61.0,76.725,Medium
104,ISC,CISCE,99.0,86.0,100,98,94.0,94.0,83.0,97.0,0.95,CISCE,English,375.0,93.75,48.975,High
105,HS,WBCHSE,80.0,93.0,80,62,74.0,80.0,83.0,81.4,91.14,WBBSE,Bengali,299.0,74.75,86.27000000000001,Medium
106,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,85.0,93.0,60,52,80.0,80.0,83.0,74.0,85.14,WEST BENGAL BOARD OF SECONDARY EDUCATION,Bengali,275.0,68.75,79.57,Medium
107,HS,WBCHSE,81.0,94.0,83,76,88.0,91.0,83.0,87.4,90.0,WBBSE,Bengali,330.0,82.5,88.7,High
108,HS,West Bengal Council of Higher Secondary Education,70.0,96.0,68,64,66.0,80.0,87.0,77.4,90.0,West Bengal Board of Secondary Education,Bengali,285.0,71.25,83.7,Medium
109,HS,West Bengal Council of Higher Secondary Education ,84.0,90.0,81,80,75.0,77.0,83.0,82.4,93.14,West Bengal Board of Secondary Education ,Bengali,319.0,79.75,87.77000000000001,Medium
110,HS,WBCHSE,70.0,75.0,70,58,79.0,60.0,83.0,66.6,94.0,WBBSE,Bengali,290.0,72.5,80.3,Medium
111,HS,CBSE,90.0,86.0,54,52,52.0,80.0,91.0,67.8,93.2,CBSE,English,249.0,62.25,80.5,Medium
112,ISC,Council for the Indian School Certificate Examinations,80.0,86.0,84,100,100.0,100.0,83.0,98.0,95.0, Council for the Indian School Certificate Examinations,English,367.0,91.75,96.5,High
113,HS,CBSE,71.0,86.0,56,50,52.0,80.0,78.0,61.4,83.6,CBSE,English,236.0,59.0,72.5,Low
114,Other,CBSE,71.0,86.0,55,53,57.0,80.0,82.0,63.6,79.9,ICSE,English,247.0,61.75,71.75,Medium
115,Other,BIHAR SCHOOL EXAMINATION BOARD ,95.0,79.0,86,77,72.0,80.0,83.0,81.8,0.882,CENTRAL BOARD OF SECONDARY EDUCATION ,English,318.0,79.5,41.341,Medium
116,HS,WBCHSE,71.0,85.0,81,73,73.0,80.0,90.0,80.4,0.676,WBBSE,English,317.0,79.25,40.538000000000004,Medium
117,HS,WBCHSE ,74.0,85.0,56,73,64.0,85.0,83.0,76.2,0.9185,WBBSE ,Bengali,276.0,69.0,38.55925,Medium
118,HS,West Bengal Board of Higher Secondary Education,76.0,90.0,73,80,73.0,63.0,83.0,78.4,80.8,West Bengal Board of Secondary Education,English,309.0,77.25,79.6,Medium
119,HS,WBCHSE,77.0,81.0,53,62,62.0,80.0,78.0,72.0,74.5,WBBSE,Bengali,255.0,63.75,73.25,Medium
120,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,92.0,88.0,46,93,93.0,82.0,83.0,89.6,82.28,WEST BENGAL BOARD OF SECONDARY EDUCATION,Bengali,315.0,78.75,85.94,Medium
121,SSCE,CBSE,92.0,86.0,53,61,57.0,76.0,83.0,67.8,0.89,CBSE,English,254.0,63.5,34.345,Medium
122,HS,WBCHSE,70.0,81.0,61,70,72.0,71.0,83.0,72.8,0.76,WBBSE,Bengali,286.0,71.5,36.78,Medium
123,ISC,CISCE,88.0,93.0,87,92,85.0,80.0,96.0,91.2,81.6,CISCE,English,360.0,90.0,86.4,High
124,HS,WBCHSE,80.0,90.0,97,82,87.0,80.0,90.0,89.2,83.85,WBBSE,Bengali,356.0,89.0,86.525,High
125,ISC,COUNCIL FOR THE INDIAN SCHOOL CERTIFICATE EXAMINATIONS,94.0,99.0,98,94,84.0,80.0,100.0,97.0,94.66,COUNCIL FOR THE INDIAN SCHOOL CERTIFICATE EXAMINATIONS,English,376.0,94.0,95.83,High
126,HS,WBCHSE,90.0,92.0,97,88,91.0,91.0,83.0,92.2,0.92,WBBSE,Bengali,359.0,89.75,46.56,High
127,SSCE,CBSE,96.0,86.0,46,62,60.0,80.0,87.0,70.2,92.6,CISCE,English,255.0,63.75,81.4,Medium
128,SSCE,CENTRAL BOARD OF SECONDARY EDUCATION,85.0,86.0,57,73,71.0,80.0,88.0,74.8,0.81,CENTRAL BOARD OF SECONDARY EDUCATION,English,289.0,72.25,37.805,Medium
129,HS,Wbchse ,80.0,68.0,54,62,65.0,53.0,83.0,65.8,69.57,Wbbse ,Hindi,264.0,66.0,67.685,Medium
130,HS,WBCHSE,68.0,100.0,92,74,68.0,80.0,55.0,91.2,96.85,WBBSE,Bengali,289.0,72.25,94.025,Medium
131,HS,Cbse,91.0,86.0,61,100,100.0,100.0,83.0,100.0,92.0,Wbbse,English,344.0,86.0,96.0,High
132,HS,West Bengal Council of Higher Secondary Education ,92.0,94.0,54,77,92.0,93.0,83.0,89.6,93.85,West Bengal Board of Secondary Education ,Bengali,306.0,76.5,91.725,Medium
133,HS,WBCHSE,96.0,96.0,90,77,83.0,80.0,98.0,92.6,96.6,WBBSE,Bengali,348.0,87.0,94.6,High
134,HS,CENTRAL BOARD OF SECONDARY EDUCATION,70.0,86.0,79,68,66.0,80.0,87.0,74.0,79.0,CENTRAL BOARD OF SECONDARY EDUCATION,English,300.0,75.0,76.5,Medium
135,HS,West Bengal Council of Higher Secondary Education ,81.0,97.0,97,67,77.0,80.0,83.0,86.4,96.0,West Bengal Board of Secondary Education ,Bengali,324.0,81.0,91.2,High
136,HS,WBCHSE,63.0,82.0,52,52,53.0,50.0,83.0,60.4,0.8628,WBBSE,Bengali,240.0,60.0,30.6314,Low
137,SSCE,CBSE,74.0,86.0,57,56,57.0,80.0,85.0,65.8,82.5,CBSE,English,255.0,63.75,74.15,Medium
