,count,mean,std,min,25%,50%,75%,max,missing_count
Total Lang1,1754.0,82.03648802736602,9.73099870835942,32.0,76.0,83.0,90.0,100.0,0
Total Lang2,1754.0,84.41619156214367,8.714400490220548,20.0,81.0,86.0,90.0,100.0,0
Total Math,1754.0,72.88597491448118,15.80549188932768,30.0,60.0,74.0,86.0,100.0,0
Total PHY,1754.0,73.93101482326112,13.406681393472784,41.0,63.0,75.0,85.0,100.0,0
Total CHE,1754.0,76.51368301026226,13.24175515705281,36.0,67.0,79.0,87.0,100.0,0
Total BIO/other,1754.0,78.8854047890536,9.745534948545112,31.0,76.0,80.0,83.0,100.0,0
Total CS/IT,1754.0,82.46351197263398,7.143551488985262,30.0,83.0,83.0,83.0,100.0,0
12th_Pct,1754.0,79.5842645381984,9.96319884682683,43.6,73.2,80.8,87.2,100.0,0
10th_Pct,1754.0,75.424265963512,24.1103254368256,0.5,82.2,82.2,82.2,100.0,0
STEM_Total,1754.0,305.79418472063855,39.84757539059218,177.0,277.0,310.0,336.0,398.0,0
STEM_Avg,1754.0,76.44854618015964,9.961893847648046,44.25,69.25,77.5,84.0,99.5,0
Overall_Avg,1754.0,77.5042652508552,14.011438683572159,25.85,76.5,81.7,85.30000000000001,97.0,0
